filename,otus,sequences,meanSeqLen,shortestSeq,longestSeq,pctMissingData,alignmentLen
OG0007564.aln_pruned.fa,21,21,151,103,250,0.47569616081726807,289
OG0006053.aln_pruned.fa,28,28,147,108,269,0.6210419734904271,388
OG0002178.aln_pruned.fa,36,36,267,108,344,0.3912878787878788,440
OG0002278.aln_pruned.fa,38,38,359,101,787,0.6889910763066837,1156
OG0006153.aln_pruned.fa,24,24,252,100,330,0.3692708333333333,400
OG0007464.aln_pruned.fa,21,21,307,104,661,0.6154121222957268,799
OG0007335.aln_pruned.fa,20,20,264,100,568,0.5463184931506849,584
OG0002729.aln_pruned.fa,20,20,443,103,761,0.4286357786357786,777
OG0004316.aln_pruned.fa,39,39,230,146,319,0.4490545254268405,419
OG0007182.aln_pruned.fa,31,31,139,104,171,0.3381745910411252,211
OG0007416.aln_pruned.fa,27,27,186,125,212,0.2328913275415333,243
OG0004428.aln_pruned.fa,29,29,282,106,834,0.704824703635643,957
OG0006917.aln_pruned.fa,22,22,261,100,748,0.6857017831747073,831
OG0005511.aln_pruned.fa,29,29,269,100,339,0.24620882835892977,357
OG0005981.aln_pruned.fa,33,33,140,101,176,0.20698510529019004,177
OG0002840.aln_pruned.fa,22,22,345,114,550,0.39045936395759717,566
OG0003618.aln_pruned.fa,25,25,284,103,385,0.32427553444180524,421
OG0005510.aln_pruned.fa,23,23,544,175,650,0.22781375269811902,705
OG0007671.aln_pruned.fa,20,20,219,101,525,0.6328595317725753,598
OG0005980.aln_pruned.fa,32,32,176,113,199,0.3611236462093863,277
OG0002841.aln_pruned.fa,23,23,653,167,825,0.36213485054347827,1024
OG0006817.aln_pruned.fa,21,21,168,108,191,0.1169284467713787,191
OG0005045.aln_pruned.fa,28,28,212,100,538,0.6729120879120879,650
OG0007324.aln_pruned.fa,20,20,120,105,220,0.5913559322033898,295
OG0002654.aln_pruned.fa,20,20,393,100,791,0.6898818897637795,1270
OG0001578.aln_pruned.fa,20,20,167,109,1089,0.8515084294587401,1127
OG0007248.aln_pruned.fa,20,20,611,144,803,0.36718426501035195,966
OG0006299.aln_pruned.fa,29,29,187,105,305,0.5224313863476425,392
OG0005926.aln_pruned.fa,21,21,682,104,2360,0.8075223319228961,3545
